Input,Match type,Approved symbol,Approved name,HGNC ID,Location
CTDSPL2,Approved symbol,CTDSPL2,CTD small phosphatase like 2,HGNC:26936,15q15.3-q21.1
CTF1,Approved symbol,CTF1,cardiotrophin 1,HGNC:2499,16p11.2
CTF2P,Approved symbol,CTF2P,"cardiotrophin 2, pseudogene",HGNC:33173,16p11.2
CTH,Approved symbol,CTH,cystathionine gamma-lyase,HGNC:2501,1p31.1
CTHRC1,Approved symbol,CTHRC1,collagen triple helix repeat containing 1,HGNC:18831,8q22.3
CTHRC1P1,Approved symbol,CTHRC1P1,collagen triple helix repeat containing 1 pseudogene 1,HGNC:50463,Xq21.1
CTIF,Approved symbol,CTIF,cap binding complex dependent translation initiation factor,HGNC:23925,18q21.1
CTLA4,Approved symbol,CTLA4,cytotoxic T-lymphocyte associated protein 4,HGNC:2505,2q33.2
CTNNA1,Approved symbol,CTNNA1,catenin alpha 1,HGNC:2509,5q31.2
CTNNA2,Approved symbol,CTNNA2,catenin alpha 2,HGNC:2510,2p12
CTNNA3,Approved symbol,CTNNA3,catenin alpha 3,HGNC:2511,10q21.3
CTNNAL1,Approved symbol,CTNNAL1,catenin alpha like 1,HGNC:2512,9q31.3
CTNNB1,Approved symbol,CTNNB1,catenin beta 1,HGNC:2514,3p22.1
CTNNBIP1,Approved symbol,CTNNBIP1,catenin beta interacting protein 1,HGNC:16913,1p36.22
CTNNBL1,Approved symbol,CTNNBL1,catenin beta like 1,HGNC:15879,20q11.23
CTNND1,Approved symbol,CTNND1,catenin delta 1,HGNC:2515,11q12.1
CTNND2,Approved symbol,CTNND2,catenin delta 2,HGNC:2516,5p15.2
CTNS,Approved symbol,CTNS,"cystinosin, lysosomal cystine transporter",HGNC:2518,17p13.2
CTPS1,Approved symbol,CTPS1,CTP synthase 1,HGNC:2519,1p34.2
CTPS2,Approved symbol,CTPS2,CTP synthase 2,HGNC:2520,Xp22.2
CTR9,Approved symbol,CTR9,"CTR9 homolog, Paf1/RNA polymerase II complex component",HGNC:16850,11p15.4
CTRB1,Approved symbol,CTRB1,chymotrypsinogen B1,HGNC:2521,16q23.1
CTRB2,Approved symbol,CTRB2,chymotrypsinogen B2,HGNC:2522,16q23.1
CTRC,Approved symbol,CTRC,chymotrypsin C,HGNC:2523,1p36.21
CTRL,Approved symbol,CTRL,chymotrypsin like,HGNC:2524,16q22.1
CTSA,Approved symbol,CTSA,cathepsin A,HGNC:9251,20q13.12
CTSB,Approved symbol,CTSB,cathepsin B,HGNC:2527,8p23.1
CTSC,Approved symbol,CTSC,cathepsin C,HGNC:2528,11q14.2
CTSD,Approved symbol,CTSD,cathepsin D,HGNC:2529,11p15.5
CTSE,Approved symbol,CTSE,cathepsin E,HGNC:2530,1q32.1
CTSF,Approved symbol,CTSF,cathepsin F,HGNC:2531,11q13.2
CTSG,Approved symbol,CTSG,cathepsin G,HGNC:2532,14q12
CTSH,Approved symbol,CTSH,cathepsin H,HGNC:2535,15q25.1
CTSK,Approved symbol,CTSK,cathepsin K,HGNC:2536,1q21.3
CTSL,Approved symbol,CTSL,cathepsin L,HGNC:2537,9q21.33
CTSL3P,Approved symbol,CTSL3P,"cathepsin L family member 3, pseudogene",HGNC:33132,9q21.33
CTSLP1,Approved symbol,CTSLP1,cathepsin L pseudogene 1,HGNC:2539,10q23.2
CTSLP2,Approved symbol,CTSLP2,cathepsin L pseudogene 2,HGNC:2540,10q11.22
CTSLP4,Approved symbol,CTSLP4,cathepsin L pseudogene 4,HGNC:23645,10q11.23
CTSLP6,Approved symbol,CTSLP6,cathepsin L pseudogene 6,HGNC:23611,10q22.3
CTSLP8,Approved symbol,CTSLP8,cathepsin L pseudogene 8,HGNC:39084,9q22.1
CTSO,Approved symbol,CTSO,cathepsin O,HGNC:2542,4q32.1
CTSS,Approved symbol,CTSS,cathepsin S,HGNC:2545,1q21.3
CTSV,Approved symbol,CTSV,cathepsin V,HGNC:2538,9q22.33
CTSW,Approved symbol,CTSW,cathepsin W,HGNC:2546,11q13.1
CTSZ,Approved symbol,CTSZ,cathepsin Z,HGNC:2547,20q13.32
CTTN,Approved symbol,CTTN,cortactin,HGNC:3338,11q13.3
CTTNBP2,Approved symbol,CTTNBP2,cortactin binding protein 2,HGNC:15679,7q31.31
CTTNBP2NL,Approved symbol,CTTNBP2NL,CTTNBP2 N-terminal like,HGNC:25330,1p13.2
CTU1,Approved symbol,CTU1,cytosolic thiouridylase subunit 1,HGNC:29590,19q13.41
CTU2,Approved symbol,CTU2,cytosolic thiouridylase subunit 2,HGNC:28005,16q24.3
CTXN1,Approved symbol,CTXN1,cortexin 1,HGNC:31108,19p13.2
CTXN2,Approved symbol,CTXN2,cortexin 2,HGNC:31109,15q21.1
CTXN3,Approved symbol,CTXN3,cortexin 3,HGNC:31110,5q23.2
CTXND1,Approved symbol,CTXND1,cortexin domain containing 1,HGNC:50507,15q25.1
CTXND2,Approved symbol,CTXND2,cortexin domain containing 2,HGNC:53440,1q21.3
CUBN,Approved symbol,CUBN,cubilin,HGNC:2548,10p13
CUBNP1,Approved symbol,CUBNP1,cubilin pseudogene 1,HGNC:44983,10q11.21
CUBNP2,Approved symbol,CUBNP2,cubilin pseudogene 2,HGNC:44984,10q11.21
CUBNP3,Approved symbol,CUBNP3,cubilin pseudogene 3,HGNC:44985,10q11.21
CUEDC1,Approved symbol,CUEDC1,CUE domain containing 1,HGNC:31350,17q22
CUEDC2,Approved symbol,CUEDC2,CUE domain containing 2,HGNC:28352,10q24.32
CUL1,Approved symbol,CUL1,cullin 1,HGNC:2551,7q36.1
CUL1P1,Approved symbol,CUL1P1,cullin 1 pseudogene 1,HGNC:49567,5q23.2
CUL2,Approved symbol,CUL2,cullin 2,HGNC:2552,10p11.21
CUL3,Approved symbol,CUL3,cullin 3,HGNC:2553,2q36.2
CUL4A,Approved symbol,CUL4A,cullin 4A,HGNC:2554,13q34
CUL4AP1,Approved symbol,CUL4AP1,cullin 4A pseudogene 1,HGNC:44027,4q26
CUL4B,Approved symbol,CUL4B,cullin 4B,HGNC:2555,Xq24
CUL5,Approved symbol,CUL5,cullin 5,HGNC:2556,11q22.3
CUL7,Approved symbol,CUL7,cullin 7,HGNC:21024,6p21.1
CUL9,Approved symbol,CUL9,cullin 9,HGNC:15982,6p21.1
CUTA,Approved symbol,CUTA,cutA divalent cation tolerance homolog,HGNC:21101,6p21.32
CUTC,Approved symbol,CUTC,cutC copper transporter,HGNC:24271,10q24.2
CUX1,Approved symbol,CUX1,cut like homeobox 1,HGNC:2557,7q22.1
CUX2,Approved symbol,CUX2,cut like homeobox 2,HGNC:19347,12q24.11-q24.12
CUX2P1,Approved symbol,CUX2P1,cut like homeobox 2 pseudogene 1,HGNC:33694,10p14
CUZD1,Approved symbol,CUZD1,CUB and zona pellucida like domains 1,HGNC:17937,10q26.13
CWC15,Approved symbol,CWC15,CWC15 spliceosome associated protein homolog,HGNC:26939,11q21
CWC22,Approved symbol,CWC22,CWC22 spliceosome associated protein homolog,HGNC:29322,2q31.3
CWC25,Approved symbol,CWC25,CWC25 spliceosome associated protein homolog,HGNC:25989,17q12
CWC27,Approved symbol,CWC27,CWC27 spliceosome associated cyclophilin,HGNC:10664,5q12.3
CWF19L1,Approved symbol,CWF19L1,CWF19 like cell cycle control factor 1,HGNC:25613,10q24.31
CWF19L2,Approved symbol,CWF19L2,CWF19 like cell cycle control factor 2,HGNC:26508,11q22.3
CWH43,Approved symbol,CWH43,cell wall biogenesis 43 C-terminal homolog,HGNC:26133,4p11
CX3CL1,Approved symbol,CX3CL1,C-X3-C motif chemokine ligand 1,HGNC:10647,16q21
CX3CR1,Approved symbol,CX3CR1,C-X3-C motif chemokine receptor 1,HGNC:2558,3p22.2
CXADR,Approved symbol,CXADR,CXADR Ig-like cell adhesion molecule,HGNC:2559,21q21.1
CXADRP1,Approved symbol,CXADRP1,CXADR pseudogene 1,HGNC:23770,21q11.2
CXADRP2,Approved symbol,CXADRP2,CXADR pseudogene 2,HGNC:33973,15q11.2
CXADRP3,Approved symbol,CXADRP3,CXADR pseudogene 3,HGNC:33974,18p11.21
CXCL1,Approved symbol,CXCL1,C-X-C motif chemokine ligand 1,HGNC:4602,4q13.3
CXCL10,Approved symbol,CXCL10,C-X-C motif chemokine ligand 10,HGNC:10637,4q21.1
CXCL11,Approved symbol,CXCL11,C-X-C motif chemokine ligand 11,HGNC:10638,4q21.1
CXCL12,Approved symbol,CXCL12,C-X-C motif chemokine ligand 12,HGNC:10672,10q11.21
CXCL13,Approved symbol,CXCL13,C-X-C motif chemokine ligand 13,HGNC:10639,4q21.1
CXCL14,Approved symbol,CXCL14,C-X-C motif chemokine ligand 14,HGNC:10640,5q31.1
CXCL16,Approved symbol,CXCL16,C-X-C motif chemokine ligand 16,HGNC:16642,17p13.2
CXCL17,Approved symbol,CXCL17,C-X-C motif chemokine ligand 17,HGNC:19232,19q13.2
CXCL2,Approved symbol,CXCL2,C-X-C motif chemokine ligand 2,HGNC:4603,4q13.3
CXCL3,Approved symbol,CXCL3,C-X-C motif chemokine ligand 3,HGNC:4604,4q13.3
CXCL5,Approved symbol,CXCL5,C-X-C motif chemokine ligand 5,HGNC:10642,4q13.3
CXCL6,Approved symbol,CXCL6,C-X-C motif chemokine ligand 6,HGNC:10643,4q13.3
CXCL8,Approved symbol,CXCL8,C-X-C motif chemokine ligand 8,HGNC:6025,4q13.3
CXCL9,Approved symbol,CXCL9,C-X-C motif chemokine ligand 9,HGNC:7098,4q21.1
CXCR1,Approved symbol,CXCR1,C-X-C motif chemokine receptor 1,HGNC:6026,2q35
CXCR2,Approved symbol,CXCR2,C-X-C motif chemokine receptor 2,HGNC:6027,2q35
CXCR2P1,Approved symbol,CXCR2P1,C-X-C motif chemokine receptor 2 pseudogene 1,HGNC:6028,2q35
CXCR3,Approved symbol,CXCR3,C-X-C motif chemokine receptor 3,HGNC:4540,Xq13.1
CXCR4,Approved symbol,CXCR4,C-X-C motif chemokine receptor 4,HGNC:2561,2q22.1
CXCR5,Approved symbol,CXCR5,C-X-C motif chemokine receptor 5,HGNC:1060,11q23.3
CXCR6,Approved symbol,CXCR6,C-X-C motif chemokine receptor 6,HGNC:16647,3p21.31
CXXC1,Approved symbol,CXXC1,CXXC finger protein 1,HGNC:24343,18q21.1
CXXC1P1,Approved symbol,CXXC1P1,CXXC finger protein 1 pseudogene 1,HGNC:27864,Xp11.23
CXXC4,Approved symbol,CXXC4,CXXC finger protein 4,HGNC:24593,4q24
CXXC5,Approved symbol,CXXC5,CXXC finger protein 5,HGNC:26943,5q31.2
CXorf38,Approved symbol,CXorf38,chromosome X open reading frame 38,HGNC:28589,Xp11.4
CXorf49,Approved symbol,CXorf49,chromosome X open reading frame 49,HGNC:30891,Xq13.1
CXorf49B,Approved symbol,CXorf49B,chromosome X open reading frame 49B,HGNC:34229,Xq13.1
CXorf51A,Approved symbol,CXorf51A,chromosome X open reading frame 51A,HGNC:30533,Xq27.3
CXorf51B,Approved symbol,CXorf51B,chromosome X open reading frame 51B,HGNC:42787,Xq27.3
CXorf58,Approved symbol,CXorf58,chromosome X open reading frame 58,HGNC:26356,Xp22.11
CXorf65,Approved symbol,CXorf65,chromosome X open reading frame 65,HGNC:33713,Xq13.1
CXorf66,Approved symbol,CXorf66,chromosome X open reading frame 66,HGNC:33743,Xq27.1
CYB561,Approved symbol,CYB561,cytochrome b561,HGNC:2571,17q23.3
CYB561A3,Approved symbol,CYB561A3,cytochrome b561 family member A3,HGNC:23014,11q12.2
CYB561D1,Approved symbol,CYB561D1,cytochrome b561 family member D1,HGNC:26804,1p13.3
CYB561D2,Approved symbol,CYB561D2,cytochrome b561 family member D2,HGNC:30253,3p21.31
CYB5A,Approved symbol,CYB5A,cytochrome b5 type A,HGNC:2570,18q22.3
CYB5AP5,Approved symbol,CYB5AP5,cytochrome b5 type A pseudogene 5,HGNC:2576,14q12
CYB5B,Approved symbol,CYB5B,cytochrome b5 type B,HGNC:24374,16q22.1
CYB5D1,Approved symbol,CYB5D1,cytochrome b5 domain containing 1,HGNC:26516,17p13.1
CYB5D2,Approved symbol,CYB5D2,cytochrome b5 domain containing 2,HGNC:28471,17p13.2
CYB5R1,Approved symbol,CYB5R1,cytochrome b5 reductase 1,HGNC:13397,1q32.1
CYB5R2,Approved symbol,CYB5R2,cytochrome b5 reductase 2,HGNC:24376,11p15.4
CYB5R3,Approved symbol,CYB5R3,cytochrome b5 reductase 3,HGNC:2873,22q13.2
CYB5R4,Approved symbol,CYB5R4,cytochrome b5 reductase 4,HGNC:20147,6q14.2
CYB5RL,Approved symbol,CYB5RL,cytochrome b5 reductase like,HGNC:32220,1p32.3
CYBA,Approved symbol,CYBA,cytochrome b-245 alpha chain,HGNC:2577,16q24.2
CYBB,Approved symbol,CYBB,cytochrome b-245 beta chain,HGNC:2578,Xp21.1-p11.4
CYBC1,Approved symbol,CYBC1,cytochrome b-245 chaperone 1,HGNC:28672,17q25.3
CYBRD1,Approved symbol,CYBRD1,cytochrome b reductase 1,HGNC:20797,2q31.1
CYC1,Approved symbol,CYC1,cytochrome c1,HGNC:2579,8q24.3
CYCS,Approved symbol,CYCS,"cytochrome c, somatic",HGNC:19986,7p15.3
CYCSP1,Approved symbol,CYCSP1,CYCS pseudogene 1,HGNC:20095,14q24.3
CYCSP10,Approved symbol,CYCSP10,CYCS pseudogene 10,HGNC:24384,3p25.3
CYCSP11,Approved symbol,CYCSP11,CYCS pseudogene 11,HGNC:24385,3p25.3
CYCSP12,Approved symbol,CYCSP12,CYCS pseudogene 12,HGNC:24386,3p25.2
CYCSP17,Approved symbol,CYCSP17,CYCS pseudogene 17,HGNC:24390,6q16.1
CYCSP19,Approved symbol,CYCSP19,CYCS pseudogene 19,HGNC:24392,7q31.31
CYCSP2,Approved symbol,CYCSP2,CYCS pseudogene 2,HGNC:24410,15q15.1
CYCSP20,Approved symbol,CYCSP20,CYCS pseudogene 20,HGNC:24394,7q32.1
CYCSP22,Approved symbol,CYCSP22,CYCS pseudogene 22,HGNC:24396,8q11.21
CYCSP23,Approved symbol,CYCSP23,CYCS pseudogene 23,HGNC:24397,8q24.12
CYCSP24,Approved symbol,CYCSP24,CYCS pseudogene 24,HGNC:24398,9q22.32
CYCSP25,Approved symbol,CYCSP25,CYCS pseudogene 25,HGNC:24399,11p13
CYCSP26,Approved symbol,CYCSP26,CYCS pseudogene 26,HGNC:24400,11q12.1
CYCSP27,Approved symbol,CYCSP27,CYCS pseudogene 27,HGNC:24401,11q13.4
CYCSP28,Approved symbol,CYCSP28,CYCS pseudogene 28,HGNC:24402,11q14.1
CYCSP29,Approved symbol,CYCSP29,CYCS pseudogene 29,HGNC:24403,11q22.3
CYCSP30,Approved symbol,CYCSP30,CYCS pseudogene 30,HGNC:24405,12q21.32
CYCSP32,Approved symbol,CYCSP32,CYCS pseudogene 32,HGNC:24406,13q12.11
CYCSP33,Approved symbol,CYCSP33,CYCS pseudogene 33,HGNC:24407,13q12.12
CYCSP34,Approved symbol,CYCSP34,CYCS pseudogene 34,HGNC:24408,13q14.11
CYCSP35,Approved symbol,CYCSP35,CYCS pseudogene 35,HGNC:24409,13q32.2
CYCSP38,Approved symbol,CYCSP38,CYCS pseudogene 38,HGNC:24411,15q22.2
CYCSP39,Approved symbol,CYCSP39,CYCS pseudogene 39,HGNC:24412,16p12.1
CYCSP4,Approved symbol,CYCSP4,CYCS pseudogene 4,HGNC:24413,1q32.1
CYCSP40,Approved symbol,CYCSP40,CYCS pseudogene 40,HGNC:24414,17q25.2
CYCSP41,Approved symbol,CYCSP41,CYCS pseudogene 41,HGNC:2580,21p11.2
CYCSP42,Approved symbol,CYCSP42,CYCS pseudogene 42,HGNC:2581,21q21.1
CYCSP43,Approved symbol,CYCSP43,CYCS pseudogene 43,HGNC:24417,Xq13.1
CYCSP44,Approved symbol,CYCSP44,CYCS pseudogene 44,HGNC:24418,Xq27.3
CYCSP45,Approved symbol,CYCSP45,CYCS pseudogene 45,HGNC:24419,Xq28
CYCSP46,Approved symbol,CYCSP46,CYCS pseudogene 46,HGNC:23941,Yq11.221
CYCSP48,Approved symbol,CYCSP48,CYCS pseudogene 48,HGNC:23942,Yq11.23
CYCSP49,Approved symbol,CYCSP49,CYCS pseudogene 49,HGNC:23943,Yq11.23
CYCSP5,Approved symbol,CYCSP5,CYCS pseudogene 5,HGNC:24416,1q44
CYCSP51,Approved symbol,CYCSP51,CYCS pseudogene 51,HGNC:24383,1q21.3
CYCSP52,Approved symbol,CYCSP52,CYCS pseudogene 52,HGNC:24393,1q23.1
CYCSP53,Approved symbol,CYCSP53,CYCS pseudogene 53,HGNC:24404,1q24.3
CYCSP55,Approved symbol,CYCSP55,CYCS pseudogene 55,HGNC:21252,6p21.31
CYCSP6,Approved symbol,CYCSP6,CYCS pseudogene 6,HGNC:24421,2p12
CYCSP8,Approved symbol,CYCSP8,CYCS pseudogene 8,HGNC:24423,2q21.1
CYCTP,Approved symbol,CYCTP,"cytochrome c, testis, pseudogene",HGNC:24424,2q31.2
CYFIP1,Approved symbol,CYFIP1,cytoplasmic FMR1 interacting protein 1,HGNC:13759,15q11.2
CYFIP2,Approved symbol,CYFIP2,cytoplasmic FMR1 interacting protein 2,HGNC:13760,5q33.3
CYGB,Approved symbol,CYGB,cytoglobin,HGNC:16505,17q25.1
CYHR1,Approved symbol,CYHR1,cysteine and histidine rich 1,HGNC:17806,8q24.3
CYLC1,Approved symbol,CYLC1,cylicin 1,HGNC:2582,Xq21.1
CYLC2,Approved symbol,CYLC2,cylicin 2,HGNC:2583,9q31.1
CYLD,Approved symbol,CYLD,CYLD lysine 63 deubiquitinase,HGNC:2584,16q12.1
CYMP,Approved symbol,CYMP,"chymosin, pseudogene",HGNC:2588,1p13.3
CYP11A1,Approved symbol,CYP11A1,cytochrome P450 family 11 subfamily A member 1,HGNC:2590,15q24.1
CYP11B1,Approved symbol,CYP11B1,cytochrome P450 family 11 subfamily B member 1,HGNC:2591,8q24.3
CYP11B2,Approved symbol,CYP11B2,cytochrome P450 family 11 subfamily B member 2,HGNC:2592,8q24.3
CYP17A1,Approved symbol,CYP17A1,cytochrome P450 family 17 subfamily A member 1,HGNC:2593,10q24.32
CYP17A1-AS1,Approved symbol,CYP17A1-AS1,CYP17A1 antisense RNA 1,HGNC:31671,10q24.32
CYP19A1,Approved symbol,CYP19A1,cytochrome P450 family 19 subfamily A member 1,HGNC:2594,15q21.2
CYP1A1,Approved symbol,CYP1A1,cytochrome P450 family 1 subfamily A member 1,HGNC:2595,15q24.1
CYP1A2,Approved symbol,CYP1A2,cytochrome P450 family 1 subfamily A member 2,HGNC:2596,15q24.1
CYP1B1,Approved symbol,CYP1B1,cytochrome P450 family 1 subfamily B member 1,HGNC:2597,2p22.2
CYP1B1-AS1,Approved symbol,CYP1B1-AS1,CYP1B1 antisense RNA 1,HGNC:28543,2p22.2
CYP1D1P,Approved symbol,CYP1D1P,"cytochrome P450 family 1 subfamily D member 1, pseudogene",HGNC:39968,9q21.13
CYP20A1,Approved symbol,CYP20A1,cytochrome P450 family 20 subfamily A member 1,HGNC:20576,2q33.2
CYP21A1P,Approved symbol,CYP21A1P,"cytochrome P450 family 21 subfamily A member 1, pseudogene",HGNC:2599,6p21.33
CYP21A2,Approved symbol,CYP21A2,cytochrome P450 family 21 subfamily A member 2,HGNC:2600,6p21.33
CYP24A1,Approved symbol,CYP24A1,cytochrome P450 family 24 subfamily A member 1,HGNC:2602,20q13.2
CYP26A1,Approved symbol,CYP26A1,cytochrome P450 family 26 subfamily A member 1,HGNC:2603,10q23.33
CYP26B1,Approved symbol,CYP26B1,cytochrome P450 family 26 subfamily B member 1,HGNC:20581,2p13.2
CYP26C1,Approved symbol,CYP26C1,cytochrome P450 family 26 subfamily C member 1,HGNC:20577,10q23.33
CYP27A1,Approved symbol,CYP27A1,cytochrome P450 family 27 subfamily A member 1,HGNC:2605,2q35
CYP27B1,Approved symbol,CYP27B1,cytochrome P450 family 27 subfamily B member 1,HGNC:2606,12q14.1
CYP27C1,Approved symbol,CYP27C1,cytochrome P450 family 27 subfamily C member 1,HGNC:33480,2q14.3
CYP2A13,Approved symbol,CYP2A13,cytochrome P450 family 2 subfamily A member 13,HGNC:2608,19q13.2
CYP2A6,Approved symbol,CYP2A6,cytochrome P450 family 2 subfamily A member 6,HGNC:2610,19q13.2
CYP2A7,Approved symbol,CYP2A7,cytochrome P450 family 2 subfamily A member 7,HGNC:2611,19q13.2
CYP2A7P1,Approved symbol,CYP2A7P1,cytochrome P450 family 2 subfamily A member 7 pseudogene 1,HGNC:2612,19q13.2
CYP2AB1P,Approved symbol,CYP2AB1P,"cytochrome P450 family 2 subfamily AB member 1, pseudogene",HGNC:39975,3q27.1
CYP2AC1P,Approved symbol,CYP2AC1P,"cytochrome P450 family 2 subfamily AC member 1, pseudogene",HGNC:39976,6p12.3
CYP2B6,Approved symbol,CYP2B6,cytochrome P450 family 2 subfamily B member 6,HGNC:2615,19q13.2
CYP2B7P,Approved symbol,CYP2B7P,"cytochrome P450 family 2 subfamily B member 7, pseudogene",HGNC:2616,19q13.2
CYP2C18,Approved symbol,CYP2C18,cytochrome P450 family 2 subfamily C member 18,HGNC:2620,10q23.33
CYP2C19,Approved symbol,CYP2C19,cytochrome P450 family 2 subfamily C member 19,HGNC:2621,10q23.33
CYP2C56P,Approved symbol,CYP2C56P,"cytochrome P450 family 2 subfamily C member 56, pseudogene",HGNC:39971,2q24.3
CYP2C58P,Approved symbol,CYP2C58P,"cytochrome P450 family 2 subfamily C member 58, pseudogene",HGNC:39969,10q23.33
CYP2C59P,Approved symbol,CYP2C59P,"cytochrome P450 family 2 subfamily C member 59, pseudogene",HGNC:42406,10q23.33
CYP2C60P,Approved symbol,CYP2C60P,"cytochrome P450 family 2 subfamily C member 60, pseudogene",HGNC:42410,10q23.33
CYP2C61P,Approved symbol,CYP2C61P,"cytochrome P450 family 2 subfamily C member 61, pseudogene",HGNC:39972,10q21.3
CYP2C8,Approved symbol,CYP2C8,cytochrome P450 family 2 subfamily C member 8,HGNC:2622,10q23.33
CYP2C9,Approved symbol,CYP2C9,cytochrome P450 family 2 subfamily C member 9,HGNC:2623,10q23.33
CYP2D6,Approved symbol,CYP2D6,cytochrome P450 family 2 subfamily D member 6,HGNC:2625,22q13.2
CYP2D7,Approved symbol,CYP2D7,cytochrome P450 family 2 subfamily D member 7 (gene/pseudogene),HGNC:2624,22q13.2
CYP2D8P,Approved symbol,CYP2D8P,"ccytochrome P450 family 2 subfamily D member 8, pseudogene",HGNC:2628,22q13.2
CYP2E1,Approved symbol,CYP2E1,cytochrome P450 family 2 subfamily E member 1,HGNC:2631,10q26.3
CYP2F1,Approved symbol,CYP2F1,cytochrome P450 family 2 subfamily F member 1,HGNC:2632,19q13.2
CYP2F2P,Approved symbol,CYP2F2P,"cytochrome P450 family 2 subfamily F member 2, pseudogene",HGNC:18851,19q13.2
CYP2G1P,Approved symbol,CYP2G1P,"cytochrome P450 family 2 subfamily G member 1, pseudogene",HGNC:2633,19q13.2
CYP2G2P,Approved symbol,CYP2G2P,"cytochrome P450 family 2 subfamily G member 2, pseudogene",HGNC:15653,19q13.2
CYP2J2,Approved symbol,CYP2J2,cytochrome P450 family 2 subfamily J member 2,HGNC:2634,1p32.1
CYP2R1,Approved symbol,CYP2R1,cytochrome P450 family 2 subfamily R member 1,HGNC:20580,11p15.2
CYP2S1,Approved symbol,CYP2S1,cytochrome P450 family 2 subfamily S member 1,HGNC:15654,19q13.2
CYP2T1P,Approved symbol,CYP2T1P,"cytochrome P450 family 2 subfamily T member 1, pseudogene",HGNC:18852,19q13.2
CYP2T3P,Approved symbol,CYP2T3P,"cytochrome P450 family 2 subfamily T member 3, pseudogene",HGNC:18853,19q13.2
CYP2U1,Approved symbol,CYP2U1,cytochrome P450 family 2 subfamily U member 1,HGNC:20582,4q25
CYP2W1,Approved symbol,CYP2W1,cytochrome P450 family 2 subfamily W member 1,HGNC:20243,7p22.3
CYP39A1,Approved symbol,CYP39A1,cytochrome P450 family 39 subfamily A member 1,HGNC:17449,6p12.3
CYP3A4,Approved symbol,CYP3A4,cytochrome P450 family 3 subfamily A member 4,HGNC:2637,7q22.1
CYP3A43,Approved symbol,CYP3A43,cytochrome P450 family 3 subfamily A member 43,HGNC:17450,7q22.1
CYP3A5,Approved symbol,CYP3A5,cytochrome P450 family 3 subfamily A member 5,HGNC:2638,7q22.1
CYP3A52P,Approved symbol,CYP3A52P,"cytochrome P450 family 3 subfamily A member 52, pseudogene",HGNC:42412,7q22.1
CYP3A54P,Approved symbol,CYP3A54P,"cytochrome P450 family 3 subfamily A member 54, pseudogene",HGNC:42413,7p22.1
CYP3A7,Approved symbol,CYP3A7,cytochrome P450 family 3 subfamily A member 7,HGNC:2640,7q22.1
CYP3A7-CYP3A51P,Approved symbol,CYP3A7-CYP3A51P,CYP3A7-CYP3A51P readthrough,HGNC:51504,7q22.1
CYP46A1,Approved symbol,CYP46A1,cytochrome P450 family 46 subfamily A member 1,HGNC:2641,14q32.2
CYP46A4P,Approved symbol,CYP46A4P,"cytochrome P450 family 46 subfamily A member 4, pseudogene",HGNC:42349,1p33
CYP4A11,Approved symbol,CYP4A11,cytochrome P450 family 4 subfamily A member 11,HGNC:2642,1p33
CYP4A22,Approved symbol,CYP4A22,cytochrome P450 family 4 subfamily A member 22,HGNC:20575,1p33
CYP4A22-AS1,Approved symbol,CYP4A22-AS1,CYP4A22 antisense RNA 1,HGNC:43715,1p33
CYP4A26P,Approved symbol,CYP4A26P,"cytochrome P450 family 4 subfamily A member 26, pseudogene",HGNC:39980,1p33
CYP4A27P,Approved symbol,CYP4A27P,"cytochrome P450 family 4 subfamily A member 27, pseudogene",HGNC:42414,1p33
CYP4A43P,Approved symbol,CYP4A43P,"cytochrome P450 family 4 subfamily A member 43, pseudogene",HGNC:42417,1p33
CYP4A44P,Approved symbol,CYP4A44P,"cytochrome P450 family 4 subfamily A member 44, pseudogene",HGNC:42416,1p33
CYP4B1,Approved symbol,CYP4B1,cytochrome P450 family 4 subfamily B member 1,HGNC:2644,1p33
CYP4F10P,Approved symbol,CYP4F10P,"cytochrome P450 family 4 subfamily F member 10, pseudogene",HGNC:39943,19p13.12
CYP4F11,Approved symbol,CYP4F11,cytochrome P450 family 4 subfamily F member 11,HGNC:13265,19p13.12
CYP4F12,Approved symbol,CYP4F12,cytochrome P450 family 4 subfamily F member 12,HGNC:18857,19p13.12
CYP4F2,Approved symbol,CYP4F2,cytochrome P450 family 4 subfamily F member 2,HGNC:2645,19p13.12
CYP4F22,Approved symbol,CYP4F22,cytochrome P450 family 4 subfamily F member 22,HGNC:26820,19p13.12
CYP4F23P,Approved symbol,CYP4F23P,"cytochrome P450 family 4 subfamily F member 23, pseudogene",HGNC:39944,19p13.12
CYP4F24P,Approved symbol,CYP4F24P,"cytochrome P450 family 4 subfamily F member 24, pseudogene",HGNC:39945,19p13.12
CYP4F25P,Approved symbol,CYP4F25P,"cytochrome P450 family 4 subfamily F member 25, pseudogene",HGNC:39949,9q13
CYP4F26P,Approved symbol,CYP4F26P,"cytochrome P450 family 4 subfamily F member 26, pseudogene",HGNC:39948,9p13.3
CYP4F27P,Approved symbol,CYP4F27P,"cytochrome P450 family 4 subfamily F member 27, pseudogene",HGNC:39946,2q21.1
CYP4F29P,Approved symbol,CYP4F29P,"cytochrome P450 family 4 subfamily F member 29, pseudogene",HGNC:2647,21q11.2
CYP4F3,Approved symbol,CYP4F3,cytochrome P450 family 4 subfamily F member 3,HGNC:2646,19p13.12
CYP4F30P,Approved symbol,CYP4F30P,"cytochrome P450 family 4 subfamily F member 30, pseudogene",HGNC:25270,2q21.1
